Humedad;Temp;pm10;pm2,5;uv;etiq
0,87;0,81;0,81;0,48;0,96;2
0,87;0,81;0,81;0,48;0,96;2
0,87;0,81;0,81;0,48;0,96;2
0,87;0,81;0,81;0,47;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,48;0,96;2
0,87;0,81;0,81;0,47;0,96;2
0,87;0,81;0,81;0,48;0,96;2
0,87;0,81;0,81;0,47;0,96;2
0,87;0,81;0,81;0,47;0,96;2
0,88;0,81;0,81;0,47;0,96;2
0,88;0,81;0,81;0,47;0,96;2
0,88;0,81;0,81;0,47;0,96;2
0,88;0,81;0,81;0,47;0,96;2
0,88;0,81;0,81;0,47;0,96;2
0,88;0,81;0,80;0,47;0,96;2
0,88;0,81;0,81;0,47;0,96;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,52;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,81;0,80;0,50;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,81;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,50;1,00;2
0,88;0,80;0,80;0,50;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,50;1,00;2
0,88;0,80;0,80;0,50;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,80;0,48;1,00;2
