Humedad;pm10;pm2.5;uv;etiq
 75.00 ;9.93;8.57;7.7;2
 75.00 ;9.93;8.29;7.7;2
 75.00 ;9.93;8.29;7.7;2
 75.00 ;9.93;8.29;7.7;2
 75.00 ;9.88;8.29;7.7;2
 75.00 ;9.88;8.29;7.7;2
 75.00 ;9.88;8.29;7.7;2
 75.00 ;9.88;8.29;7.7;2
 75.00 ;9.88;8.29;7.7;2
 76.00 ;9.88;8.29;7.7;2
 76.00 ;9.93;8.29;7.7;2
 76.00 ;9.88;8.29;7.7;2
 76.00 ;9.88;8.29;7.7;2
 75.00 ;9.88;8.29;7.7;2
 75.00 ;9.88;8.29;7.7;2
 76.00 ;9.88;8.29;7.7;2
 76.00 ;9.88;8.29;7.7;2
 76.00 ;9.86;8.29;7.7;2
 76.00 ;9.88;8.29;7.7;2
 76.00 ;9.88;8.29;7.7;2
 76.00 ;9.86;8.29;7.7;2
 76.00 ;9.86;8.29;7.7;2
 76.00 ;9.86;8;7.7;2
 76.00 ;9.86;8;7.7;2
 76.00 ;9.86;8;7.7;2
 76.00 ;9.86;8;7.7;2
 76.00 ;9.86;8;7.7;2
 75.00 ;9.86;8;7.7;2
 75.00 ;9.86;8;7.7;2
 75.00 ;9.86;8;7.7;2
 75.00 ;9.86;8;7.7;2
 75.00 ;9.86;8;7.7;2
 75.00 ;9.86;7.71;7.7;2
 75.00 ;9.86;8.29;7.7;2
 75.00 ;9.86;8.29;7.7;2
 75.00 ;9.86;8.29;7.7;2
 75.00 ;9.81;8;7.7;2
 75.00 ;9.81;7.72;7.7;2
 75.00 ;9.81;8;7.7;2
 75.00 ;9.81;7.72;7.7;2
 75.00 ;9.81;7.72;7.7;2
 76.00 ;9.81;7.72;7.7;2
 76.00 ;9.81;7.72;7.7;2
 76.00 ;9.81;7.72;7.7;2
 76.00 ;9.81;7.72;7.7;2
 76.00 ;9.81;7.72;7.7;2
 76.00 ;9.77;7.72;7.7;2
 76.00 ;9.81;7.72;7.7;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.77;8.29;8.00;2
 76.00 ;9.77;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.77;8.29;8.00;2
 76.00 ;9.77;8.29;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.77;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8.57;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.77;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.77;8.29;8.00;2
 76.00 ;9.77;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.74;8.29;8.00;2
 76.00 ;9.7;8.29;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.74;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.7;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 76.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.63;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.7;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8.86;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.63;8.29;8.00;2
 77.00 ;9.63;8;8.00;2
 77.00 ;9.63;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8;8.00;2
 77.00 ;9.65;8.86;8.00;2
 77.00 ;9.65;8.86;8.00;2
 77.00 ;9.65;8.86;8.00;2
 77.00 ;9.65;8.86;8.00;2
 78.00 ;9.65;8.86;8.00;2
 78.00 ;9.65;8.86;8.00;2
 78.00 ;9.65;8.86;8.00;2
 78.00 ;9.65;8.86;8.00;2
 78.00 ;9.63;9.15;8.00;2
 78.00 ;9.65;9.15;8.00;2
 78.00 ;9.63;9.15;8.00;2
 78.00 ;9.63;9.15;8.00;2
 78.00 ;9.63;9.15;8.00;2
 78.00 ;9.63;9.15;8.00;2
 78.00 ;9.58;9.15;8.00;2
 78.00 ;9.63;9.14;8.00;2
 78.00 ;9.58;9.43;8.00;2
 78.00 ;9.58;9.43;8.00;2
 78.00 ;9.58;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.65;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.72;8.00;2
 78.00 ;9.63;9.71;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
 78.00 ;9.63;9.43;8.00;2
77;5;9.16;3.5;3
77;5;8.8;3.3;3
77;5;8.75;3.3;3
77;5;8.97;3.4;3
77;5;8.97;3.3;3
77;5;8.98;3;3
77;5;8.93;3.1;3
77;5;9.29;3.4;3
77;5;8.8;3.1;3
77;5;8.41;3.2;3
77;5;8.81;3.2;3
77;5;8.4;3.2;3
77;5;8.58;3.2;3
77;5;8.55;3.2;3
76;5;8.46;3.1;3
76;5;8.55;3.1;3
76;5;8.83;3.1;3
76;5;8.98;3.1;3
76;5;8.8;3.1;3
76;5;8.44;3.1;3
76;5;8.79;3.1;3
76;5;9.38;3.1;3
76;5;8.82;3.1;3
76;5;8.81;3.1;3
76;5;8.54;2.8;3
76;5;8.4;2.9;3
76;5;8.79;3;3
76;5;8.72;3;3
76;5;9.12;3.1;3
76;5;8.8;3.1;3
75;5;9.19;3.1;3
75;5;9.2;3.1;3
75;5;9.2;3.1;3
75;5;8.92;3.1;3
75;5;8.68;3.1;3
75;5;8.97;3.1;3
75;5;8.4;3.1;3
75;5;9.03;3.1;3
75;5;8.4;3.1;3
75;5;9.04;3.1;3
75;5;8.4;3.1;3
75;5;8.39;3.1;3
75;5;9.22;3.1;3
75;5;8.55;3;3
75;5;8.43;3;3
75;5;8.84;3;3
75;5;9.26;3;3
75;5;9.19;3;3
75;5;8.59;3;3
75;5;8.97;3;3
75;5;8.4;3;3
75;5;8.56;3;3
75;5;9.34;3;3
75;5;8.4;3;3
75;5;8.68;3;3
75;5;8.92;3;3
75;5;8.4;3;3
75;5;8.43;3;3
75;5;8.4;3;3
75;5;8.8;3;3
75;5;8.8;3;3
75;5;8.82;3;3
75;5;8.4;3;3
75;5;8.95;3;3
75;5;9.18;3;3
75;5;9.19;3;3
75;5;8.71;3;3
75;5;8.4;3;3
75;5;8.74;3;3
75;5;8.8;3;3
75;5;8.8;3;3
75;5;8.4;3;3
75;5;8.96;3;3
75;5;8.43;3;3
75;5;8.45;3;3
75;5;8.8;3;3
75;5;8.59;3;3
75;5;8.55;3;3
75;5;8.79;3;3
75;5;8.73;3;3
75;5;8.73;3;3
75;5;8.41;3;3
79;5;8.6;3;3
80;5;8.91;3;3
79;5;8.8;3;3
79;5;8.97;3;3
79;5;9.03;3;3
79;5;9.14;3;3
79;5;8.79;3;3
79;5;8.93;3;3
79;5;8.67;3;3
79;5;8.89;3;3
79;5;8.79;3;3
79;5;8.8;3;3
79;5;8.8;3;3
79;5;8.81;3;3
79;5;9.33;3;3
79;5;8.78;3;3
79;5;8.82;3;3
79;5;8.96;3;3
79;5;8.81;3;3
79;5;8.96;3;3
79;5;9.04;3;3
79;5;8.79;3;3
79;5;9.01;3;3
79;5;8.93;3;3
79;5;8.92;3;3
79;5;8.6;3;3
79;5;8.44;3;3
79;5;8.78;3;3
79;5;8.43;3;3
79;5;9.08;3;3
79;5;8.4;3;3
79;5;8.95;3;3
79;5;9.19;3;3
79;5;8.8;3.1;3
79;5;8.55;3.1;3
79;5;8.95;3;3
79;5;8.4;3.1;3
79;5;8.4;3;3
79;5;8.96;3.1;3
79;5;9.32;3.1;3
79;5;8.43;3.1;3
79;5;8.71;3.1;3
79;5;9.1;3.1;3
79;5;8.4;3.1;3
79;5;8.83;3.1;3
79;5;8.4;3.1;3
79;5;8.61;3;3
79;5;8.72;3;3
79;5;8.76;3;3
79;5;8.73;3;3
79;5;8.4;3;3
79;5;8.95;3;3
79;5;8.45;3;3
79;5;9.18;3;3
79;5;8.8;3;3
79;5;8.9;3;3
79;5;8.64;3;3
79;5;8.41;3;3
79;5;8.78;3;3
79;5;8.4;3;3
79;5;8.4;3;3
79;5;8.8;3;3
79;5;9.1;3;3
79;5;8.8;3;3
79;5;8.93;3;3
79;5;9.1;3;3
79;5;8.5;3;3
79;5;8.8;3;3
79;5;8.4;3;3
79;5;9.01;3;3
79;5;8.64;3;3
79;5;8.55;3;3
79;5;8.4;3;3
79;5;9.1;3;3
79;5;8.66;3;3
79;5;8.78;3;3
79;5;8.78;3;3
79;5;8.78;3;3
79;5;8.66;3;3
79;5;8.62;3;3
79;5;9.31;3;3
79;5;9.16;3;3
79;5;8.81;3;3
79;5;8.8;3;3
80;5;8.55;3;3
81;5;8.61;3;3
81;5;8.72;3;3
80;5;8.41;3;3
81;5;8.64;3;3
81;5;8.5;3;3
82;5;8.83;3;3
81;5;8.51;3;3
81;5;8.47;3;3
81;5;8.8;3;3
81;5;8.67;3;3
81;5;8.48;3;3
81;5;8.64;3;3
81;5;8.83;3;3
